"Date","Price","Open","High","Low","Change %"
"Dec 23, 2020","9.3046","9.3193","9.3474","9.2829","-0.08%"
"Dec 22, 2020","9.3117","9.3716","9.3861","9.2863","-0.55%"
"Dec 21, 2020","9.3633","9.3393","9.4263","9.3030","0.22%"
"Dec 18, 2020","9.3431","9.4474","9.5092","9.3126","-1.02%"
"Dec 17, 2020","9.4398","9.5140","9.5502","9.4229","-0.71%"
"Dec 16, 2020","9.5074","9.5211","9.5565","9.4391","-0.07%"
"Dec 15, 2020","9.5142","9.5366","9.5757","9.4967","-0.17%"
"Dec 14, 2020","9.5302","9.5365","9.6471","9.5081","0.16%"
"Dec 11, 2020","9.5146","9.5742","9.7405","9.4710","-0.59%"
"Dec 10, 2020","9.5709","9.4565","9.6062","9.4401","1.37%"
"Dec 09, 2020","9.4412","9.4591","9.5230","9.4309","-0.04%"
"Dec 08, 2020","9.4454","9.4468","9.5215","9.4320","0.06%"
"Dec 07, 2020","9.4402","9.4608","9.5479","9.4408","-0.12%"
"Dec 04, 2020","9.4513","9.4426","9.5429","9.4271","0.22%"
"Dec 03, 2020","9.4301","9.5137","9.6077","9.4159","-0.83%"
"Dec 02, 2020","9.5089","9.4494","9.5360","9.3893","0.68%"
"Dec 01, 2020","9.4445","9.3425","9.4842","9.3221","1.14%"
"Nov 30, 2020","9.3377","9.3689","9.4167","9.2780","-0.35%"
"Nov 27, 2020","9.3701","9.3757","9.4143","9.2521","-0.04%"
"Nov 26, 2020","9.3737","9.4495","9.5164","9.3375","-0.77%"
"Nov 25, 2020","9.4467","9.5159","9.5456","9.4125","-0.66%"
"Nov 24, 2020","9.5091","9.3364","9.5641","9.2774","1.91%"
"Nov 23, 2020","9.3311","9.0508","9.4671","9.0508","3.14%"
"Nov 20, 2020","9.0466","8.9689","9.1448","8.9316","0.91%"
"Nov 19, 2020","8.9649","9.1343","9.1756","8.8740","-1.82%"
"Nov 18, 2020","9.1308","9.1348","9.2495","9.1012","0.03%"
"Nov 17, 2020","9.1285","9.1256","9.2658","9.0889","0.05%"
"Nov 16, 2020","9.1240","9.0640","9.2010","8.9950","0.67%"
"Nov 13, 2020","9.0635","9.0779","9.1635","8.9723","-0.11%"
"Nov 12, 2020","9.0736","9.1856","9.2943","9.0353","-1.18%"
"Nov 11, 2020","9.1821","9.6217","9.7029","9.1628","-4.57%"
"Nov 10, 2020","9.6220","9.5276","9.9150","9.5226","1.03%"
"Nov 09, 2020","9.5238","10.1290","10.1383","9.4906","-5.88%"
"Nov 06, 2020","10.1187","9.9577","10.2015","9.9214","1.61%"
"Nov 05, 2020","9.9587","9.8825","10.0259","9.8750","0.83%"
"Nov 04, 2020","9.8767","9.8448","9.9536","9.7859","0.38%"
"Nov 03, 2020","9.8391","9.8048","10.0052","9.7976","0.41%"
"Nov 02, 2020","9.7988","9.7307","9.8394","9.7137","0.82%"
"Oct 30, 2020","9.7192","9.6810","9.7993","9.6572","0.47%"
"Oct 29, 2020","9.6739","9.6993","9.7768","9.6468","-0.23%"
"Oct 28, 2020","9.6966","9.6574","9.7754","9.6397","0.43%"
"Oct 27, 2020","9.6547","9.5469","9.6940","9.5448","1.21%"
"Oct 26, 2020","9.5397","9.4459","9.5704","9.4332","1.05%"
"Oct 23, 2020","9.4409","9.3785","9.4616","9.3365","0.73%"
"Oct 22, 2020","9.3722","9.2652","9.4466","9.1997","1.22%"
"Oct 21, 2020","9.2588","9.2989","9.3399","9.2498","-0.35%"
"Oct 20, 2020","9.2916","9.2787","9.3431","9.2647","0.22%"
"Oct 19, 2020","9.2713","9.3003","9.3236","9.2197","-0.24%"
"Oct 16, 2020","9.2939","9.2903","9.3407","9.2415","0.11%"
"Oct 15, 2020","9.2840","9.2941","9.3297","9.2690","-0.06%"
"Oct 14, 2020","9.2892","9.2992","9.3423","9.2829","-0.04%"
"Oct 13, 2020","9.2929","9.3218","9.3355","9.2850","-0.27%"
"Oct 12, 2020","9.3180","9.2892","9.3497","9.2682","0.31%"
"Oct 09, 2020","9.2896","9.3420","9.3729","9.2631","-0.50%"
"Oct 08, 2020","9.3366","9.2740","9.3479","9.2655","0.74%"
"Oct 07, 2020","9.2678","9.1517","9.2980","9.1321","1.31%"
"Oct 06, 2020","9.1478","9.1475","9.2046","9.1222","0.06%"
"Oct 05, 2020","9.1419","9.1070","9.1663","9.0637","0.43%"
"Oct 02, 2020","9.1027","9.1082","9.1323","9.0318","-0.01%"
"Oct 01, 2020","9.1039","9.0463","9.1413","8.9553","0.69%"
"Sep 30, 2020","9.0413","9.1825","9.2018","9.0209","-1.46%"
"Sep 29, 2020","9.1751","9.1048","9.2278","9.0690","0.82%"
"Sep 28, 2020","9.1005","8.9202","9.1488","8.8940","2.14%"
"Sep 25, 2020","8.9094","8.9021","8.9407","8.7464","0.17%"
"Sep 24, 2020","8.8946","8.9794","9.0161","8.7800","-0.88%"
"Sep 23, 2020","8.9736","8.9756","9.0093","8.9279","0.05%"
"Sep 22, 2020","8.9690","8.9841","9.0063","8.9225","-0.12%"
"Sep 21, 2020","8.9796","8.9584","9.0009","8.9299","0.39%"
"Sep 18, 2020","8.9444","8.9461","8.9984","8.9182","0.05%"
"Sep 17, 2020","8.9402","8.8708","8.9557","8.7952","0.83%"
"Sep 16, 2020","8.8669","8.8804","8.9073","8.8373","0.00%"
"Sep 15, 2020","8.8665","8.8870","8.9210","8.8414","-0.10%"
"Sep 14, 2020","8.8753","8.8539","8.9125","8.8384","0.27%"
"Sep 11, 2020","8.8511","8.8015","8.8745","8.7934","0.60%"
"Sep 10, 2020","8.7984","8.8365","8.8818","8.7910","-0.38%"
"Sep 09, 2020","8.8320","8.8180","8.8648","8.7778","0.25%"
"Sep 08, 2020","8.8097","8.8110","8.8475","8.7826","0.01%"
"Sep 07, 2020","8.8086","8.7994","8.8378","8.7789","0.11%"
"Sep 04, 2020","8.7988","8.8123","8.8367","8.7389","-0.10%"
"Sep 03, 2020","8.8080","8.7541","8.8312","8.6969","0.66%"
"Sep 02, 2020","8.7501","8.7785","8.7930","8.7070","-0.25%"
"Sep 01, 2020","8.7720","8.7737","8.8483","8.7570","0.04%"
"Aug 31, 2020","8.7689","8.7278","8.8145","8.6953","0.46%"
"Aug 28, 2020","8.7284","8.7030","8.7549","8.6621","0.34%"
"Aug 27, 2020","8.6987","8.7197","8.7426","8.6197","-0.17%"
"Aug 26, 2020","8.7135","8.7496","8.7830","8.6286","-0.32%"
"Aug 25, 2020","8.7413","8.6975","8.7666","8.6814","0.53%"
"Aug 24, 2020","8.6950","8.6501","8.7425","8.6074","0.48%"
"Aug 21, 2020","8.6534","8.6552","8.7256","8.4635","0.04%"
"Aug 20, 2020","8.6497","8.6336","8.7199","8.5995","0.24%"
"Aug 19, 2020","8.6290","8.7975","8.8240","8.5632","-1.85%"
"Aug 18, 2020","8.7919","8.7648","8.8258","8.7508","0.39%"
"Aug 17, 2020","8.7578","8.7324","8.7909","8.7110","0.40%"
"Aug 14, 2020","8.7226","8.6703","8.7539","8.6279","0.67%"
"Aug 13, 2020","8.6646","8.6410","8.7197","8.5979","0.35%"
"Aug 12, 2020","8.6341","8.4871","8.6560","8.4279","2.12%"
"Aug 11, 2020","8.4550","8.6094","8.6440","8.4454","-1.75%"
"Aug 10, 2020","8.6059","8.5983","8.6824","8.4980","0.15%"
"Aug 07, 2020","8.5933","8.5981","8.7264","8.4004","0.00%"
"Aug 06, 2020","8.5930","8.3605","8.6770","8.3399","2.85%"
"Aug 05, 2020","8.3547","8.1443","8.4205","8.1392","2.65%"
"Aug 04, 2020","8.1389","8.1859","8.2208","8.1171","-0.51%"
"Aug 03, 2020","8.1807","8.2157","8.2401","8.1682","-0.34%"
"Jul 31, 2020","8.2088","8.2869","8.3094","8.2050","-0.89%"
"Jul 30, 2020","8.2824","8.2316","8.2997","8.1596","0.60%"
"Jul 29, 2020","8.2327","8.1271","8.2587","8.1187","1.36%"
"Jul 28, 2020","8.1219","8.0645","8.1878","8.0365","0.76%"
"Jul 27, 2020","8.0606","7.9759","8.1854","7.9655","1.05%"
"Jul 24, 2020","7.9767","7.9368","7.9868","7.9209","0.60%"
"Jul 23, 2020","7.9290","7.9255","7.9615","7.8930","0.06%"
"Jul 22, 2020","7.9241","7.8664","7.9500","7.8593","0.81%"
"Jul 21, 2020","7.8607","7.8522","7.8810","7.8168","0.25%"
"Jul 20, 2020","7.8414","7.8335","7.8685","7.8151","0.09%"
"Jul 17, 2020","7.8340","7.8062","7.8646","7.7945","0.41%"
"Jul 16, 2020","7.8017","7.8232","7.8476","7.7947","-0.22%"
"Jul 15, 2020","7.8192","7.8235","7.8636","7.8133","-0.02%"
"Jul 14, 2020","7.8206","7.7808","7.8375","7.7695","0.58%"
"Jul 13, 2020","7.7756","7.7576","7.8073","7.7518","0.30%"
"Jul 10, 2020","7.7525","7.7424","7.7786","7.7150","0.17%"
"Jul 09, 2020","7.7394","7.7730","7.8033","7.7326","-0.36%"
"Jul 08, 2020","7.7677","7.7327","7.7935","7.7181","0.54%"
"Jul 07, 2020","7.7261","7.7590","7.7772","7.7228","-0.36%"
"Jul 06, 2020","7.7543","7.7147","7.7877","7.7101","0.50%"
"Jul 03, 2020","7.7157","7.7006","7.7440","7.6804","0.27%"
"Jul 02, 2020","7.6953","7.7052","7.7495","7.6843","-0.05%"
"Jul 01, 2020","7.6994","7.6971","7.7291","7.6649","0.08%"
"Jun 30, 2020","7.6932","7.7058","7.7194","7.6649","-0.12%"
"Jun 29, 2020","7.7021","7.6950","7.7408","7.6849","0.23%"
"Jun 26, 2020","7.6843","7.6911","7.7073","7.6612","-0.05%"
"Jun 25, 2020","7.6880","7.7132","7.7203","7.6501","-0.29%"
"Jun 24, 2020","7.7100","7.7477","7.7680","7.7059","-0.41%"
"Jun 23, 2020","7.7414","7.7108","7.7815","7.6897","0.44%"
"Jun 22, 2020","7.7076","7.6651","7.7164","7.6427","0.69%"
"Jun 19, 2020","7.6547","7.6831","7.7193","7.6402","-0.30%"
"Jun 18, 2020","7.6777","7.6963","7.7264","7.6677","-0.19%"
"Jun 17, 2020","7.6922","7.7090","7.7270","7.6720","-0.15%"
"Jun 16, 2020","7.7035","7.7404","7.7628","7.6793","-0.43%"
"Jun 15, 2020","7.7367","7.6646","7.7603","7.6463","0.94%"
"Jun 12, 2020","7.6646","7.7301","7.7498","7.6544","-0.80%"
"Jun 11, 2020","7.7265","7.7076","7.7990","7.6764","0.34%"
"Jun 10, 2020","7.7000","7.7071","7.7513","7.6875","-0.02%"
"Jun 09, 2020","7.7016","7.6680","7.7295","7.6293","0.57%"
"Jun 08, 2020","7.6578","7.6427","7.6894","7.6248","0.30%"
"Jun 05, 2020","7.6348","7.6593","7.7002","7.6185","-0.25%"
"Jun 04, 2020","7.6538","7.5762","7.6848","7.5325","1.08%"
"Jun 03, 2020","7.5723","7.5015","7.6016","7.4765","1.00%"
"Jun 02, 2020","7.4972","7.5876","7.6164","7.4676","-1.12%"
"Jun 01, 2020","7.5821","7.5684","7.6055","7.5578","0.20%"
"May 29, 2020","7.5668","7.5479","7.6200","7.5421","0.32%"
"May 28, 2020","7.5425","7.4543","7.5633","7.4461","1.26%"
"May 27, 2020","7.4489","7.3888","7.4767","7.3748","0.89%"
"May 26, 2020","7.3835","7.4226","7.4489","7.3485","-0.49%"
